"","Period","Site","Plot","Tag","New_Tag","Sexo","Sexo_t0","Sexo_t1","Height_t0","Height_t1","DAS_t0","DAS_t1","Estg_Rep_t0","Estg_Rep_t1","surv","rep"
"97","2022_2024","N1","P5","307","307","Masculina","Masculina","Masculina",118,159,19.45,18,"Botao_flor","flor",1,1
"98","2022_2024","N1","P5","308","308","Indeterminado","Indeterminado","Indeterminado",96,102,3.65,7.25,"Vegetativo","resto flor",1,0
"99","2022_2024","N1","P5","309","309","Indeterminado","Indeterminado","Indeterminado",34,59,4.05,4,"Vegetativo","Vegetativo",1,0
"100","2022_2024","N1","P5","310","310","Masculina","Masculina","Masculina",134,135,9.4,11,"Botao_flor","flor",1,1
"101","2022_2024","N1","P5","311","311","Indeterminado","Indeterminado","Indeterminado",21,27,2.1,2,"Vegetativo","Vegetativo",1,0
"102","2022_2024","N1","P5","312","312","Masculina","Indeterminado","Masculina",137,168,11.05,9,"Botao_flor","resto flor",1,1
"103","2022_2024","N1","P5","313","313","Indeterminado","Indeterminado","Indeterminado",72,27,5.65,9,"Vegetativo","Vegetativo",1,0
"104","2022_2024","N1","Ext. P5","301","301","Indeterminado","Indeterminado","Indeterminado",112,107,10.4,10,"Vegetativo","Vegetativo",1,0
"105","2022_2024","N1","Ext. P5","302","302","Indeterminado","Indeterminado","Indeterminado",48,49.5,6.25,6,"Vegetativo","Vegetativo",1,0
"106","2022_2024","Lagoa da mata","P6","373","373","Masculina","Masculina","Masculina",181,205,16.1,11,"Botao","Botao",1,1
"107","2022_2024","Lagoa da mata","P6","374","374","Indeterminado","Indeterminado","Indeterminado",44,47,5.75,7,"Vegetativo","Vegetativo",1,0
"108","2022_2024","Lagoa da mata","P6","375","375","Masculina","Masculina","Masculina",157,163,13,14,"Vegetativo","Vegetativo",1,0
"109","2022_2024","Lagoa da mata","P6","376","376","Indeterminado","Indeterminado","Indeterminado",96,132,8.25,9,"Vegetativo","Vegetativo",1,0
"110","2022_2024","Lagoa da mata","P6","377","377","Indeterminado","Indeterminado","Indeterminado",184,190,14.05,14.5,"Vegetativo","Vegetativo",1,0
"111","2022_2024","Lagoa da mata","P6","378","378","Indeterminado","Indeterminado","Indeterminado",103,118,6.75,7,"Vegetativo","Vegetativo",1,0
"112","2022_2024","Lagoa da mata","P6","379","379","Masculina","Masculina","Masculina",184,224,15.75,17.5,"Vegetativo","botao",1,0
"113","2022_2024","Lagoa da mata","P6","380","380","Masculina","Masculina","Masculina",87,85,7.55,8.5,"Vegetativo","Vegetativo",1,0
"114","2022_2024","Lagoa da mata","P6","381","381","Masculina","Masculina","Masculina",101,80,11.45,13.5,"Vegetativo","botao",1,0
"115","2022_2024","Lagoa da mata","P6","382","382","Indeterminado","Indeterminado","Indeterminado",126,64,9.2,10.5,"Vegetativo","Vegetativo",1,0
"116","2022_2024","Lagoa da mata","P6","383","383","Masculina","Masculina","Masculina",198,230,12,13.5,"Vegetativo","flor",1,0
"117","2022_2024","Lagoa da mata","P6","384","384","Indeterminado","Indeterminado","Indeterminado",85,104,5.65,5,"Vegetativo","Vegetativo",1,0
"118","2022_2024","Lagoa da mata","P6","385","385","Masculina","Masculina","Masculina",109,130,9.3,9,"Botao","Botao",1,1
"119","2022_2024","Lagoa da mata","P6","386","386","Masculina","Masculina","Masculina",133,111,15.7,16.5,"Vegetativo","Vegetativo",1,0
"120","2022_2024","Lagoa da mata","P6","387","387","Masculina","Masculina","Masculina",258,120,20.15,19,"Botao","Botao",1,1
"121","2022_2024","Lagoa da mata","P6","388","388","Masculina","Masculina","Masculina",139,168,25.5,13,"Botao","Botao",1,1
"122","2022_2024","Lagoa da mata","P6","389","389","Masculina","Masculina","Masculina",85,153,8.85,11,"Botao","Botao",1,1
"123","2022_2024","Lagoa da mata","P6","390","390","Masculina","Masculina","Masculina",136,117,8,8,"Botao","Botao",1,1
"124","2022_2024","Lagoa da mata","P6","391","391","Indeterminado","Indeterminado","Indeterminado",105,121,9.95,11,"Vegetativo","Vegetativo",1,0
