"","Period","Site","Plot","Tag","New_Tag","Sexo","Sexo_t0","Sexo_t1","Height_t0","Height_t1","DAS_t0","DAS_t1","Estg_Rep_t0","Estg_Rep_t1","surv","rep"
"169","2022_2024","Lagoa da mata","P8","442","442","Indeterminado","Indeterminado","Indeterminado",89,53,5,6.5,"Vegetativo","Vegetativo",1,0
"170","2022_2024","Lagoa da mata","P8","443","443","Indeterminado","Indeterminado","Indeterminado",106,39,10.95,10,"Botao","Vegetativo",1,1
"171","2022_2024","Lagoa da mata","P8","444","444","Indeterminado","Indeterminado","Indeterminado",82,97,5.3,6.5,"Vegetativo","Vegetativo",1,0
"172","2022_2024","Lagoa da mata","P8","445","445","Indeterminado","Indeterminado","Indeterminado",31,35,2.45,4.5,"Vegetativo","Vegetativo",1,0
"173","2022_2024","Lagoa da mata","P8","446","446","Indeterminado","Indeterminado",NA,2,NA,5.4,NA,"Vegetativo",NA,0,0
"174","2022_2024","Lagoa da mata","P8","447","447","Indeterminado","Indeterminado","Indeterminado",36,42,2.35,4.5,"Vegetativo","Vegetativo",1,0
"175","2022_2024","Lagoa da mata","P8","448","448","Indeterminado","Indeterminado","Indeterminado",36,21,3.85,2.5,"Vegetativo","Vegetativo",1,0
"176","2022_2024","Lagoa da mata","P8","449","449","Indeterminado","Indeterminado","Indeterminado",58,50,4.6,6.5,"Vegetativo","Vegetativo",1,0
"177","2022_2024","Lagoa da mata","P8","450","450","Masculina","Masculina","Masculina",99,128,7.7,9.5,"Botao","Botao",1,1
"178","2022_2024","Lagoa da mata","P8","451","451","Indeterminado","Indeterminado","Indeterminado",50,54,4.2,6,"Vegetativo","Vegetativo",1,0
"179","2022_2024","Lagoa da mata","P8","452","452","Masculina","Masculina","Masculina",324,250,13.6,15.5,"Botao","flor",1,1
"180","2022_2024","Lagoa da mata","P8","453","453","Masculina","Masculina","Masculina",239,280,12.85,14.5,"Botao","flor",1,1
"181","2022_2024","Lagoa da mata","P8","454","454","Indeterminado","Indeterminado",NA,8,NA,1,NA,"Vegetativo",NA,0,0
"182","2022_2024","Lagoa da mata","P8","455","455","Indeterminado","Indeterminado","Indeterminado",45,47,4.75,7,"Vegetativo","Vegetativo",1,0
"183","2022_2024","Lagoa da mata","P8","456","456","Masculina","Masculina","Masculina",330,300,14.1,14.5,"Botao","Botao",1,1
"184","2022_2024","Lagoa da mata","P8","589","589","Indeterminado","Indeterminado","Indeterminado",15,19,4.35,4.5,"Vegetativo","Vegetativo",1,0
"185","2022_2024","Lagoa da mata","P8","590","590","Indeterminado","Indeterminado",NA,10,NA,1,NA,"Vegetativo",NA,0,0
"186","2022_2024","Lagoa da mata","P8","591","591","Indeterminado","Indeterminado","Indeterminado",44,48,5.2,5.5,"Vegetativo","Vegetativo",1,0
"187","2022_2024","Lagoa da mata","P8","592","592","Indeterminado","Indeterminado",NA,8,NA,1,NA,"Vegetativo",NA,0,0
"188","2022_2024","Lagoa da mata","P8","593","593","Indeterminado","Indeterminado",NA,13,NA,1.35,NA,"Vegetativo",NA,0,0
"189","2022_2024","Lagoa da mata","P9","457","457","Indeterminado","Indeterminado",NA,36,NA,4.55,NA,"Vegetativo",NA,0,0
"190","2022_2024","Lagoa da mata","P9","458","458","Indeterminado","Indeterminado","Indeterminado",36,8,4.65,5.5,"Vegetativo","Vegetativo",1,0
"191","2022_2024","Lagoa da mata","P9","459","459","Indeterminado","Indeterminado","Indeterminado",61,58,8.4,8,"Vegetativo","Vegetativo",1,0
"192","2022_2024","Lagoa da mata","P9","460","460","Indeterminado","Indeterminado","Indeterminado",56,58,6.8,8,"Vegetativo","Vegetativo",1,0
"193","2022_2024","Lagoa da mata","P9","461","461","Indeterminado","Indeterminado","Indeterminado",70,80,5.2,6.5,"Vegetativo","Vegetativo",1,0
"194","2022_2024","Lagoa da mata","P9","462","462","Indeterminado","Indeterminado","Indeterminado",37,39,3.4,4.5,"Vegetativo","Vegetativo",1,0
"195","2022_2024","Lagoa da mata","P9","465","465","Indeterminado","Indeterminado","Indeterminado",30,36,4.35,5,"Vegetativo","Vegetativo",1,0
"196","2022_2024","Lagoa da mata","P9","466","466","Masculina","Masculina","Masculina",189,170,11.6,11.5,"Botao","Botao",1,1
"197","2022_2024","Lagoa da mata","P9","467","467","Indeterminado","Indeterminado","Indeterminado",5,20,13.1,3,"Vegetativo","Vegetativo",1,0
"198","2022_2024","Lagoa da mata","P9","468","468","Masculina","Masculina",NA,30,NA,4.35,NA,"Vegetativo",NA,0,0
"199","2022_2024","Lagoa da mata","P9","470","470","Masculina","Masculina","Masculina",207,120,12.45,14,"Botao","Vegetativo",1,1
"200","2022_2024","Lagoa da mata","P9","471","471","Masculina","Masculina","Masculina",310,330,23.35,23.5,"Botao_flor","flor",1,1
"201","2022_2024","Lagoa da mata","P9","473","473","Indeterminado","Indeterminado",NA,3,NA,8.6,NA,"Vegetativo",NA,0,0
"202","2022_2024","Lagoa da mata","P9","472","472","Indeterminado","Indeterminado",NA,9,NA,4.7,NA,"Vegetativo",NA,0,0
"203","2022_2024","Lagoa da mata","P9","474","474","Masculina","Masculina","Masculina",215,170,10.65,11.5,"Vegetativo","flor",1,0
"204","2022_2024","Lagoa da mata","P9","594","594","Indeterminado","Indeterminado",NA,25,NA,2,NA,"Vegetativo",NA,0,0
"205","2022_2024","Lagoa da mata","P9","595","595","Masculina","Masculina","Masculina",28,30,3.45,6,"Vegetativo","Vegetativo",1,0
"206","2022_2024","Lagoa da mata","Ext.","475","475","Masculina","Masculina","Masculina",147,30,10.25,6.5,"Botao","Vegetativo",1,1
"207","2022_2024","Lagoa da mata","Ext.","476","476","Masculina","Masculina","Masculina",300,320,19.1,19.5,"Botao","flor",1,1
"208","2022_2024","Lagoa da mata","Ext.","477","477","Masculina","Masculina","Masculina",165,200,8.45,9,"Botao","flor",1,1
"209","2022_2024","Lagoa da mata","Ext.","478","478","Indeterminado","Indeterminado","Indeterminado",88,145,11.25,12.5,"Botao","Botao",1,1
"210","2022_2024","Lagoa da mata","Ext.","479","479","Masculina","Masculina","Masculina",148,150,8.9,9,"Botao","flor",1,1
"211","2022_2024","N1","P1","8157","8157",NA,NA,"Indeterminado",NA,16.5,NA,2,NA,"Vegetativo",1,1
"212","2022_2024","N1","P2","559/8168","559/8168",NA,NA,"Indeterminado",NA,20,NA,1,NA,"Vegetativo",1,1
"213","2022_2024","N1","P2","8167","8167",NA,NA,"Indeterminado",NA,13,NA,1,NA,"Vegetativo",1,1
"214","2022_2024","N1","P2","8166","8166",NA,NA,"Indeterminado",NA,20,NA,2,NA,"Vegetativo",1,1
"215","2022_2024","N1","P2","8133","8133",NA,NA,"Indeterminado",NA,8,NA,1,NA,"Vegetativo",1,1
"216","2022_2024","N1","P3","283/2153","283/2153",NA,NA,"Indeterminado",NA,16.5,NA,1,NA,"Vegetativo",1,1
"217","2022_2024","N1","P4","8154","8154",NA,NA,"Indeterminado",NA,63.5,NA,5,NA,"Vegetativo",1,1
"218","2022_2024","N1","P4","8155","8155",NA,NA,"Indeterminado",NA,186,NA,12.5,NA,"Vegetativo",1,1
"219","2022_2024","N1","P4","8156","8156",NA,NA,"Indeterminado",NA,163,NA,10.5,NA,"Vegetativo",1,1
"220","2022_2024","N1","P5","8152","8152",NA,NA,"Indeterminado",NA,17,NA,1,NA,"Vegetativo",1,1
"221","2022_2024","Lagoa da mata","P6","2442366",NA,"Masculina",NA,"Masculina",NA,380,NA,21.5,NA,"flor",1,1
"222","2022_2024","Lagoa da mata","P6","8160","8160",NA,NA,"Indeterminado",NA,58,NA,8,NA,"Vegetativo",1,1
"223","2022_2024","Lagoa da mata","P7","8158","8158",NA,NA,"Indeterminado",NA,28,NA,2.5,NA,"Vegetativo",1,1
"224","2022_2024","Lagoa da mata","P8","8162","8162",NA,NA,"Indeterminado",NA,51,NA,5,NA,"Vegetativo",1,1
"225","2022_2024","Lagoa da mata","P8","8163","8163",NA,NA,"Indeterminado",NA,46,NA,6.5,NA,"Vegetativo",1,1
"226","2022_2024","Lagoa da mata","P8","8164","8164",NA,NA,"Indeterminado",NA,18,NA,3,NA,"Vegetativo",1,1
"227","2022_2024","Lagoa da mata","P8","8165","8165",NA,NA,"Indeterminado",NA,23,NA,3.5,NA,"Vegetativo",1,1
"228","2022_2024","Lagoa da mata","P8","8161","8161","Masculina",NA,"Masculina",NA,360,NA,20,NA,"flor",1,1
