"","Plot","Quad","Q_Yellow","TAG","1stYear","Status0","X_10","Y_10","alt0","dia_x0","dia_y0","alt","dia_x","dia_y","Status","ObsNEXT","Obs0","size","size_next","repro","survival","id"
"43","2","A","B3","no tag",2023,"Reprodutivo",4.5,3,5,5,55,NA,NA,NA,"Morreu",NA,NA,30,NA,1,0,43
"44","2","A","B5","no tag",2023,"Jovem",6,6.5,5,5,5,5,5,5,"Jovem",NA,NA,5,5,0,1,44
"45","2","A","B5","no tag",2023,"Jovem",6,6.5,5,5,5,NA,NA,NA,"Morreu",NA,NA,5,NA,0,0,45
"46","2","A","B5","no tag",2023,"Jovem",6,6.5,5,5,5,NA,NA,NA,"Morreu",NA,NA,5,NA,0,0,46
"47","2","A","B5","no tag",2023,"Jovem",6,6.5,10.6,5,5,NA,NA,NA,"Morreu",NA,NA,5,NA,0,0,47
"48","2","A","B5","no tag",2023,"Jovem",6,6,5,5,5,5,5,5,"Jovem",NA,NA,5,5,0,1,48
"49","2","A","B5","no tag",2023,"Reprodutivo",9,8,16.9,6.2,5,NA,NA,NA,"Morreu",NA,NA,5.6,NA,1,0,49
"50","2","A","B5","2875",2023,"Reprodutivo",9.5,6.5,10.8,5.5,5.5,25,34,17,"Reprodutivo","Recebeu tag em 2024 (#2875)
Status não registrado. Jovem? Preferi repetir o status anterior, no caso, reprodutivo",NA,5.5,25.5,1,1,50
"51","2","A","B5","no tag",2023,"Jovem",4.5,8,5,5,5,NA,NA,NA,"Morreu",NA,NA,5,NA,0,0,51
"52","2","A","B5","no tag",2023,"Jovem",3,3,5,5,55,NA,NA,NA,"Morreu",NA,NA,30,NA,0,0,52
"53","2","A","B5","no tag",2023,"Jovem",3,3,5,5,5,NA,NA,NA,"Morreu",NA,NA,5,NA,0,0,53
"54","2","A","C1","no tag",2023,"Reprodutivo",8.5,2,12.7,5,5,NA,NA,NA,"Morreu",NA,NA,5,NA,1,0,54
"55","2","A","C1","no tag",2023,"Jovem",5,3,5,5,5,NA,NA,NA,"Morreu",NA,NA,5,NA,0,0,55
"56","2","A","C1","no tag",2023,"Reprodutivo",4,3.5,10.2,5.9,5.5,NA,NA,NA,"Morreu",NA,NA,5.7,NA,1,0,56
"57","2","A","C3","no tag",2023,"Reprodutivo",0.5,4.5,10.5,5,6.5,NA,NA,NA,"Morreu",NA,NA,5.75,NA,1,0,57
"58","2","A","C4","no tag",2023,"Jovem",3.5,5,5,5,5,NA,NA,NA,"Morreu",NA,NA,5,NA,0,0,58
"59","2","A","C4","no tag",2023,"Reprodutivo",5,4,12.3,5,5,NA,NA,NA,"Morreu",NA,NA,5,NA,1,0,59
"60","2","A","C4","no tag",2023,"Reprodutivo",7.5,8.5,6.7,5,5,NA,NA,NA,"Morreu",NA,NA,5,NA,1,0,60
"61","2","A","C4","no tag",2023,"Jovem",4.5,4,5,5,5,NA,NA,NA,"Morreu",NA,NA,5,NA,0,0,61
