Plot;Quad;X_quad;Y_quad;Q_Yellow;X_yellow;Y_yellow;TAG ;Col_data;Status;X_10;Y_10;X_q;Y_q;X;Y;alt;dia_x;dia_y;alt24;dia_x24;dia_y24;Status24
2;B;50;0;A4;30;40;no tag;2024;new;6;0.5;36;40.5;86;40.5;;;;5;5;5;Jovem
2;B;50;0;B1;0;30;no tag;2024;new;3;10;3;40;53;40;;;;5;5;5;Jovem
2;B;50;0;B2;10;30;no tag;2024;new;8.5;0;18.5;30;68.5;30;;;;5;5;5;Jovem
2;B;50;0;B2;10;30;no tag;2024;new;7.5;2.5;17.5;32.5;67.5;32.5;;;;5;5;5;Jovem
2;B;50;0;B2;10;30;no tag;2024;new;2;3;12;33;62;33;;;;5;5;5;Jovem
2;B;50;0;B3;20;30;no tag;2024;new;0;9.5;20;39.5;70;39.5;;;;5;5;5;Jovem
2;B;50;0;B3;20;30;no tag;2024;new;2;9.5;22;39.5;72;39.5;;;;5;5;5;Jovem
2;B;50;0;B4;30;30;no tag;2024;new;5.5;2.5;35.5;32.5;85.5;32.5;;;;5;5;5;Jovem
2;B;50;0;C4;30;20;no tag;2024;new;2.5;4.5;32.5;24.5;82.5;24.5;;;;5;5;5;Jovem
2;B;50;0;C4;30;20;no tag;2024;new;7;6.5;37;26.5;87;26.5;;;;5;5;5;Jovem
2;B;50;0;D3;20;10;no tag;2024;new;9;2;29;12;79;12;;;;5;5;5;Jovem
2;B;50;0;D3;20;10;no tag;2024;new;9;2;29;12;79;12;;;;5;5;5;Jovem
2;B;50;0;D3;20;10;no tag;2024;new;9;2;29;12;79;12;;;;5;5;5;Jovem
2;B;50;0;E1;0;0;no tag;2024;new;7;3;7;3;57;3;;;;5;5;5;Jovem
2;B;50;0;E1;0;0;no tag;2024;new;5;5.5;5;5.5;55;5.5;;;;5;5;5;Jovem
2;B;50;0;E1;0;0;no tag;2024;new;4;5;4;5;54;5;;;;5;5;5;Jovem
2;B;50;0;E2;10;0;no tag;2024;new;1;2;11;2;61;2;;;;5;5;5;Jovem
2;B;50;0;E2;10;0;no tag;2024;new;2;10;12;10;62;10;;;;5;5;5;Jovem
2;B;50;0;E4;30;10;no tag;2024;new;5;4;35;14;85;14;;;;5;5;5;Jovem
2;B;50;0;C2;10;20;no tag;2024;new;9;8.5;19;28.5;69;28.5;;;;14;5;5;Jovem
2;B;50;0;C2;10;20;no tag;2024;new;9;9.5;19;29.5;69;29.5;;;;20;5;5;Jovem
2;B;50;0;C2;10;20;no tag;2024;new;8;9.5;18;29.5;68;29.5;;;;5;5;5;Jovem
2;B;50;0;C2;10;20;no tag;2024;new;9.5;7.5;19.5;27.5;69.5;27.5;;;;5;5;5;Jovem
2;B;50;0;C2;10;20;no tag;2024;new;9.5;7.5;19.5;27.5;69.5;27.5;;;;5;5;5;Jovem
2;B;50;0;C2;10;20;no tag;2024;new;9.5;7.5;19.5;27.5;69.5;27.5;;;;5;5;5;Jovem
2;B;50;0;C2;10;20;no tag;2024;new;9.5;7.5;19.5;27.5;69.5;27.5;;;;5;5;5;Jovem
2;B;50;0;C2;10;20;no tag;2024;new;9.5;7.5;19.5;27.5;69.5;27.5;;;;5;5;5;Jovem
2;B;50;0;C2;10;20;no tag;2024;new;9.5;7.5;19.5;27.5;69.5;27.5;;;;5;5;5;Jovem
2;B;50;0;C2;10;20;no tag;2024;new;9;0;19;20;69;20;;;;5;5;5;Jovem
2;B;50;0;D2;10;10;no tag;2024;new;0.5;5;10.5;15;60.5;15;;;;5;5;5;Jovem
2;B;50;0;D2;10;10;no tag;2024;new;0.5;6.5;10.5;16.5;60.5;16.5;;;;5;5;5;Jovem
2;C;0;50;B3;10;20;no tag;2024;new;8.5;2.5;18.5;22.5;18.5;72.5;;;;5;5;5;Jovem
2;C;0;50;B3;10;20;no tag;2024;new;7.5;2.5;17.5;22.5;17.5;72.5;;;;5;5;5;Jovem
2;C;0;50;B4;10;30;no tag;2024;new;1;3;11;33;11;83;;;;5;5;5;Jovem
2;C;0;50;C2;20;10;no tag;2024;new;7;7;27;17;27;67;;;;5;5;5;Jovem
2;C;0;50;C2;20;10;no tag;2024;new;7;7;27;17;27;67;;;;5;5;5;Jovem
2;C;0;50;C2;20;10;no tag;2024;new;7;7;27;17;27;67;;;;5;5;5;Jovem
2;C;0;50;C3;20;20;no tag;2024;new;2.5;7;22.5;27;22.5;77;;;;5;5;5;Jovem
