Plot;Quad;X_quad;Y_quad;Q_Yellow;X_yellow;Y_yellow;TAG;Col_data;status;X_10;Y_10;X_q;Y_q;X;Y;alt;dia_x;dia_y;status_24;OBS
2;A;0;0;C3;20;20;no tag;2024;new;7;2;27;22;27;22;5;5;5;Jovem;
2;A;0;0;C3;20;20;no tag;2024;new;8;2;28;22;28;22;5;5;5;Jovem;
2;A;0;0;C4;20;10;no tag;2024;new;5.5;9;25.5;19;25.5;19;5;5;5;Jovem;
2;A;0;0;D1;10;40;no tag;2024;new;4;1;14;41;14;41;5;5;5;Jovem;
2;A;0;0;D1;10;40;no tag;2024;new;0.5;1;10.5;41;10.5;41;5;5;5;Jovem;
2;A;0;0;D1;10;40;no tag;2024;new;0.5;1;10.5;41;10.5;41;5;5;5;Jovem;
2;A;0;0;D1;10;40;no tag;2024;new;5;0;15;40;15;40;5;5;5;Jovem;
2;A;0;0;D2;10;30;no tag;2024;new;8;4;18;34;18;34;5;5;5;Jovem;
2;A;0;0;D2;10;30;no tag;2024;new;6;3.5;16;33.5;16;33.5;5;5;5;Jovem;
2;A;0;0;D2;10;30;no tag;2024;new;1.5;4;11.5;34;11.5;34;5;5;5;Jovem;
2;B;50;0;A3;20;40;no tag;2024;new;0.5;2.5;20.5;42.5;70.5;42.5;13;5;5;Jovem;
2;B;50;0;A3;20;40;no tag;2024;new;7;8.5;27;48.5;77;48.5;11;5;5;Jovem;
2;B;50;0;A3;20;40;no tag;2024;new;9.5;6;29.5;46;79.5;46;5;5;5;Jovem;
2;B;50;0;A4;30;40;no tag;2024;new;4;3;34;43;84;43;5;5;5;Jovem;
2;B;50;0;A4;30;40;no tag;2024;new;6;6.5;36;46.5;86;46.5;5;5;5;Jovem;
2;B;50;0;A4;30;40;no tag;2024;new;6;6.5;36;46.5;86;46.5;5;5;5;Jovem;
2;B;50;0;A4;30;40;no tag;2024;new;6;0.5;36;40.5;86;40.5;5;5;5;Jovem;
2;B;50;0;B1;0;30;no tag;2024;new;3;10;3;40;53;40;5;5;5;Jovem;
2;B;50;0;B2;10;30;no tag;2024;new;8.5;0;18.5;30;68.5;30;5;5;5;Jovem;
2;B;50;0;B2;10;30;no tag;2024;new;7.5;2.5;17.5;32.5;67.5;32.5;5;5;5;Jovem;
2;B;50;0;B2;10;30;no tag;2024;new;2;3;12;33;62;33;5;5;5;Jovem;
2;B;50;0;B3;20;30;no tag;2024;new;0;9.5;20;39.5;70;39.5;5;5;5;Jovem;
2;B;50;0;B3;20;30;no tag;2024;new;2;9.5;22;39.5;72;39.5;5;5;5;Jovem;
2;B;50;0;B4;30;30;no tag;2024;new;5.5;2.5;35.5;32.5;85.5;32.5;5;5;5;Jovem;
2;B;50;0;C4;30;20;no tag;2024;new;2.5;4.5;32.5;24.5;82.5;24.5;5;5;5;Jovem;
2;B;50;0;C4;30;20;no tag;2024;new;7;6.5;37;26.5;87;26.5;5;5;5;Jovem;
2;B;50;0;D3;20;10;no tag;2024;new;9;2;29;12;79;12;5;5;5;Jovem;
2;B;50;0;D3;20;10;no tag;2024;new;9;2;29;12;79;12;5;5;5;Jovem;
2;B;50;0;D3;20;10;no tag;2024;new;9;2;29;12;79;12;5;5;5;Jovem;
2;B;50;0;E1;0;0;no tag;2024;new;7;3;7;3;57;3;5;5;5;Jovem;
2;B;50;0;E1;0;0;no tag;2024;new;5;5.5;5;5.5;55;5.5;5;5;5;Jovem;
2;B;50;0;E1;0;0;no tag;2024;new;4;5;4;5;54;5;5;5;5;Jovem;
2;B;50;0;E2;10;0;no tag;2024;new;1;2;11;2;61;2;5;5;5;Jovem;
