Plot;stage;stage 2;;fate;fate2
2;3;Reprodutivo;21.7;0;dead
2;3;Reprodutivo;16.3;0;dead
2;3;Reprodutivo;89.3;0;dead
2;3;Reprodutivo;9.7;0;dead
2;3;Reprodutivo;5;0;dead
2;3;Reprodutivo;12.7;0;dead
2;3;Reprodutivo;5;0;dead
2;2;Jovem ;5;0;dead
2;2;Jovem ;5;0;dead
2;2;Jovem ;20.7;0;dead
2;2;Jovem ;22.7;0;dead
2;2;Jovem ;44.2;0;dead
2;2;Jovem ;16.2;0;dead
2;2;Jovem ;53.2;0;dead
2;2;Jovem ;32.4;0;dead
2;2;Jovem ;11.4;0;dead
3;2;Jovem ;16.9;2;Jovem
3;2;Jovem ;24.4;0;dead
3;2;Jovem ;28.3;0;dead
3;3;Reprodutivo;33.75;0;dead
3;2;Jovem ;18.5;0;dead
3;2;Jovem ;24.7;0;dead
3;2;Jovem ;10.2;0;dead
3;3;Reprodutivo;24.1;2;Jovem
3;3;Reprodutivo;46.02;0;dead
3;3;Reprodutivo;12.8;0;dead
3;3;Reprodutivo;22.3;0;dead
3;3;Reprodutivo;45.4;0;dead
3;3;Reprodutivo;13.2;3;Reprodutiva
3;2;Jovem ;63.4;0;dead
4;2;Jovem ;64.4;0;dead
4;2;Jovem ;108.6;0;dead
4;2;Jovem ;96.1;0;dead
4;2;Jovem ;15.6;0;dead
4;2;Jovem ;5;0;dead
4;2;Jovem ;5;0;dead
4;2;Jovem ;33.17;0;dead
4;2;Jovem ;5;0;dead
4;2;Jovem ;15;0;dead
4;2;Jovem ;30.1;0;dead
4;2;Jovem ;30.2;0;dead
4;2;Jovem ;68.3;0;dead
4;2;Jovem ;21.8;0;dead
4;2;Jovem ;53.7;0;dead
4;2;Jovem ;29.6;0;dead
4;2;Jovem ;19;0;dead
4;3;Reprodutivo;12.3;0;dead
4;3;Reprodutivo;33.7;0;dead
4;2;Jovem ;31.6;0;dead
4;3;Reprodutivo;40.9;0;dead
4;3;Reprodutivo;39.7;0;dead
5;3;Reprodutivo;39.1;0;dead
5;3;Reprodutivo;30.1;0;dead
5;2;Jovem ;5;0;dead
5;2;Jovem ;5;0;dead
5;2;Jovem ;22.9;0;dead
5;2;Jovem ;15;0;dead
5;3;Reprodutivo;11.1;0;dead
5;2;Jovem ;38.3;0;dead
5;2;Jovem ;15.2;0;dead
5;3;Reprodutivo;26.1;0;dead
5;2;Jovem ;16;0;dead
5;2;Jovem ;52;0;dead
5;2;Jovem ;50.7;0;dead
5;3;Reprodutivo;5;3;Reprodutiva
5;3;Reprodutivo;5;0;dead
5;3;Reprodutivo;;0;dead
5;3;Reprodutivo;;0;dead
5;3;Reprodutivo;;0;dead
5;3;Reprodutivo;;0;dead
5;3;Reprodutivo;;0;dead
5;3;Reprodutivo;;0;dead
5;3;Reprodutivo;;2;Jovem
5;3;Reprodutivo;;3;Reprodutiva
5;3;Reprodutivo;;0;dead
5;2;Jovem ;;0;dead
5;2;Jovem ;;0;dead
5;2;Jovem ;;0;dead
5;2;Jovem ;;0;dead
5;2;Jovem ;;0;dead
5;3;Reprodutivo;;0;dead
5;3;Reprodutivo;;0;dead
5;3;Reprodutivo;;0;dead
5;2;Jovem ;;0;dead
5;2;Jovem ;;0;dead
5;3;Reprodutivo;;0;dead
5;3;Reprodutivo;;0;dead
5;2;Jovem ;;0;dead
5;2;Jovem ;;0;dead
5;3;Reprodutivo;;0;dead
5;2;Jovem ;;0;dead
5;3;Reprodutivo;;0;dead
5;3;Reprodutivo;;0;dead
5;2;Jovem ;;0;dead
5;2;Jovem ;;0;dead
5;3;Reprodutivo;;0;dead
5;3;Reprodutivo;;2;Jovem
5;2;Jovem ;;0;dead
5;2;Jovem ;;0;dead
5;2;Jovem ;;0;dead
5;3;Reprodutivo;;0;dead
5;2;Jovem ;;0;dead
5;2;Jovem ;;3;Reprodutiva
6;2;Jovem ;;3;Reprodutiva
6;2;Jovem ;;0;dead
6;2;Jovem ;;0;dead
6;2;Jovem ;;0;dead
6;2;Jovem ;;0;dead
6;2;Jovem ;;0;dead
6;2;Jovem ;;3;Reprodutiva
6;2;Jovem ;;0;dead
6;3;Reprodutivo;;0;dead
6;3;Reprodutivo;;0;dead
6;2;Jovem ;;0;dead
6;2;Jovem ;;0;dead
6;2;Jovem ;;3;Reprodutiva
6;2;Jovem ;;0;dead
6;2;Jovem ;;0;dead
6;2;Jovem ;;3;Reprodutiva
6;2;Jovem ;;0;dead
6;2;Jovem ;;0;dead
6;2;Jovem ;;0;dead
6;2;Jovem ;;0;dead
6;2;Jovem ;;0;dead
6;2;Jovem ;;0;dead
6;2;Jovem ;;0;dead
6;2;Jovem ;;0;dead
6;2;Jovem ;;0;dead
6;2;Jovem ;;0;dead
6;2;Jovem ;;0;dead
6;2;Jovem ;;0;dead
6;2;Jovem ;;0;dead
6;2;Jovem ;;0;dead
7;2;Jovem ;;0;Jovem
7;2;Jovem ;;0;dead
7;2;Jovem ;;0;dead
7;2;Jovem ;;0;dead
7;2;Jovem ;;0;dead
7;2;Jovem ;;0;dead
7;2;Jovem ;;0;dead
7;2;Jovem ;;0;dead
7;2;Jovem ;;0;dead
7;2;Jovem ;;0;dead
7;2;Jovem ;;0;dead
7;2;Jovem ;;0;dead
7;2;Jovem ;;0;dead
7;2;Jovem ;;0;dead
7;2;Jovem ;;0;dead
7;2;Jovem ;;0;dead
8;2;Jovem ;;0;dead
8;2;Jovem ;;0;dead
8;2;Jovem ;;0;dead
8;2;Jovem ;;0;dead
9;2;Jovem ;;0;dead
9;3;Reprodutivo;;0;dead
9;3;Reprodutivo;;0;dead
9;2;Jovem ;;0;dead
9;2;Jovem ;;0;dead
9;2;Jovem ;;0;dead
9;3;Reprodutivo;;0;dead
9;2;Jovem ;;0;dead
9;2;Jovem ;;0;dead
9;2;Jovem ;;0;dead
9;2;Jovem ;;0;dead
9;2;Jovem ;;0;dead
9;2;Jovem ;;3;Reprodutiva
9;2;Jovem ;;0;dead
9;2;Jovem ;;0;dead
9;2;Jovem ;;0;dead
9;2;Jovem ;;0;dead
9;2;Jovem ;;0;dead
9;2;Jovem ;;0;dead
9;2;Jovem ;;2;Jovem
9;2;Jovem ;;0;dead
9;2;Jovem ;;0;dead
9;2;Jovem ;;0;dead
9;3;Reprodutivo;;0;dead
9;2;Jovem ;;0;dead
9;2;Jovem ;;0;dead
9;2;Jovem ;;0;dead
9;2;Jovem ;;0;dead
9;2;Jovem ;;0;dead
9;2;Jovem ;;2;Jovem
9;2;Jovem ;;0;dead
9;2;Jovem ;;0;dead
9;2;Jovem ;;0;dead
10;2;Jovem ;;0;dead
10;2;Jovem ;;0;dead
10;2;Jovem ;;3;Reprodutiva
10;1;seed;;2;Jovem
1;1;seed;;2;Jovem
1;1;seed;;2;Jovem
1;1;seed;;2;Jovem
1;1;seed;;3;Reprodutiva
2;1;seed;;2;Jovem
2;1;seed;;2;Jovem
2;1;seed;;2;Jovem
2;1;seed;;2;Jovem
2;1;seed;;2;Jovem
2;1;seed;;3;Reprodutiva
2;1;seed;;2;Jovem
2;1;seed;;3;Reprodutiva
2;1;seed;;2;Jovem
2;1;seed;;2;Jovem
2;1;seed;;2;Jovem
2;1;seed;;2;Jovem
2;1;seed;;2;Jovem
2;1;seed;;2;Jovem
2;1;seed;;2;Jovem
2;1;seed;;2;Jovem
2;1;seed;;2;Jovem
2;1;seed;;2;Jovem
2;1;seed;;3;Reprodutiva
2;1;seed;;2;Jovem
2;1;seed;;3;Reprodutiva
2;1;seed;;2;Jovem
2;1;seed;;2;Jovem
2;1;seed;;2;Jovem
2;1;seed;;2;Jovem
2;1;seed;;2;Jovem
2;1;seed;;2;Jovem
2;1;seed;;2;Jovem
2;1;seed;;2;Jovem
2;1;seed;;3;Reprodutiva
2;1;seed;;2;Jovem
2;1;seed;;2;Jovem
2;1;seed;;2;Jovem
2;1;seed;;2;Jovem
2;1;seed;;2;Jovem
2;1;seed;;2;Jovem
2;1;seed;;2;Jovem
2;1;seed;;2;Jovem
2;1;seed;;2;Jovem
2;1;seed;;2;Jovem
2;1;seed;;2;Jovem
2;1;seed;;2;Jovem
2;1;seed;;2;Jovem
2;1;seed;;2;Jovem
2;1;seed;;2;Jovem
2;1;seed;;2;Jovem
2;1;seed;;2;Jovem
2;1;seed;;2;Jovem
2;1;seed;;2;Jovem
2;1;seed;;2;Jovem
2;1;seed;;2;Jovem
2;1;seed;;2;Jovem
2;1;seed;;2;Jovem
2;1;seed;;2;Jovem
2;1;seed;;2;Jovem
2;1;seed;;2;Jovem
2;1;seed;;2;Jovem
2;1;seed;;2;Jovem
2;1;seed;;2;Jovem
2;1;seed;;2;Jovem
2;1;seed;;2;Jovem
