Plot;Quad;X_quad;Y_quad;Q_Yellow;X_yellow;Y_yellow;TAG ;Col_data;status;X_10;Y_10;X_q;Y_q;X;Y;alt;dia_x;dia_y;diam;
2;A;0;0;C3;20;20;no tag;2023;reprodutivo_23;0.5;4.5;20.5;24.5;20.5;24.5;10.5;5;6.5;102.05;
2;A;0;0;C4;20;10;no tag;2023;reprodutivo_23;5;4;25;14;25;14;12.3;5;5;78.5;
2;A;0;0;C4;20;10;no tag;2023;reprodutivo_23;7.5;8.5;27.5;18.5;27.5;18.5;6.7;5;5;78.5;
2;A;0;0;C4;20;10;no tag;2023;immaturo_23 ;4.5;4;24.5;14;24.5;14;5;5;5;78.5;
2;A;0;0;D1;10;40;no tag;2023;reprodutivo_23;6.5;3;16.5;43;16.5;43;5.6;5.5;5;86.35;
2;A;0;0;D2;10;30;no tag;2023;reprodutivo_23;6;2;16;32;16;32;10.4;7.2;9.1;205.7328;
2;A;0;0;D3;10;20;no tag;2023;immaturo_23 ;0.5;2;10.5;22;10.5;22;7.3;5;5;78.5;
2;A;0;0;D3;10;20;no tag;2023;immaturo_23 ;0.5;2;10.5;22;10.5;22;7.3;5;5;78.5;
2;A;0;0;E1;0;40;no tag;2023;reprodutivo_23;5;6;5;46;5;46;12.2;7.5;6.9;162.495;
2;A;0;0;E1;0;40;no tag;2023;reprodutivo_23;4;7;4;47;4;47;6.7;5.5;5;86.35;
2;B;50;0;A3;20;40;no tag;2023;reprodutivo_23;9.5;8.5;29.5;48.5;79.5;48.5;9.1;6.1;5;95.77;
2;B;50;0;A3;20;40;no tag;2023;reprodutivo_23;9.5;8.5;29.5;48.5;79.5;48.5;9.1;6.1;5;95.77;
2;B;50;0;A3;20;40;no tag;2023;reprodutivo_23;8;3.5;28;43.5;78;43.5;10.8;5;5;78.5;
2;B;50;0;A3;20;40;no tag;2023;reprodutivo_23;8;4.5;28;44.5;78;44.5;5.8;5;5;78.5;
2;B;50;0;A3;20;40;no tag;2023;immaturo_23 ;4;7;24;47;74;47;8.8;5;5;78.5;
2;B;50;0;A4;30;40;no tag;2023;immaturo_23 ;5;3.5;35;43.5;85;43.5;12.3;8.2;7.5;193.11;
2;B;50;0;B1;30;30;no tag;2023;reprodutivo_23;5.5;4.5;35.5;34.5;85.5;34.5;9;5.5;5;86.35;
2;B;50;0;B1;0;30;no tag;2023;reprodutivo_23;6;7;6;37;56;37;18.5;6;6;113.04;
2;B;50;0;B1;0;30;no tag;2023;reprodutivo_23;7;7;7;37;57;37;7.3;5;5;78.5;
2;B;50;0;B1;0;30;no tag;2023;immaturo_23 ;9;7;9;37;59;37;7.8;5.8;5.9;107.4508;
2;B;50;0;B1;0;30;no tag;2023;reprodutivo_23;9;8;9;38;59;38;17.4;5.5;5.5;94.985;
2;B;50;0;B1;0;30;no tag;2023;reprodutivo_23;7.5;9;7.5;39;57.5;39;15.4;5;5;78.5;
2;B;50;0;B1;0;30;no tag;2023;reprodutivo_23;7.5;9;7.5;39;57.5;39;15.4;5;5;78.5;
2;B;50;0;B1;0;30;no tag;2023;reprodutivo_23;7.5;9;7.5;39;57.5;39;15.4;5;5;78.5;
2;B;50;0;B1;0;30;no tag;2023;reprodutivo_23;7.5;9;7.5;39;57.5;39;15.4;5;5;78.5;
2;B;50;0;B1;0;30;no tag;2023;reprodutivo_23;0.5;4.5;0.5;34.5;50.5;34.5;13.6;7.6;7;167.048;
2;B;50;0;B3;20;30;no tag;2023;reprodutivo_23;3;9.5;23;39.5;73;39.5;8.1;5.5;5;86.35;
2;B;50;0;B4;30;30;no tag;2023;immaturo_23 ;4.5;1;34.5;31;84.5;31;5;5;5;78.5;
2;B;50;0;B4;30;30;no tag;2023;reprodutivo_23;8;2;38;32;88;32;18;23;7.4;534.428;
2;B;50;0;C2;10;20;no tag;2023;immaturo_23 ;8;5;18;25;68;25;11;5.5;5.5;94.985;
2;B;50;0;C2;10;20;no tag;2023;immaturo_23 ;9;5;19;25;69;25;13.1;5;5;78.5;
2;B;50;0;C2;10;20;no tag;2023;immaturo_23 ;9;5;19;25;69;25;13.1;5;5.3;83.21;
2;B;50;0;C2;10;20;no tag;2023;reprodutivo_23;7.5;6.5;17.5;26.5;67.5;26.5;12.6;5.8;5.3;96.5236;
2;B;50;0;C2;10;20;no tag;2023;reprodutivo_23;7.5;6.5;17.5;26.5;67.5;26.5;12.3;5.8;5.3;96.5236;
2;B;50;0;C2;10;20;no tag;2023;reprodutivo_23;6.5;8;16.5;28;66.5;28;26.3;11.3;11.6;411.5912;
2;B;50;0;C3;20;20;no tag;2023;reprodutivo_23;7;6.5;27;26.5;77;26.5;19.6;7;8.2;180.236;
2;B;50;0;C4;30;20;no tag;2023;reprodutivo_23;8;4;38;24;88;24;6.3;5;5;78.5;
2;B;50;0;C4;30;20;no tag;2023;reprodutivo_23;5;5;35;25;85;25;9.4;5.5;5.5;94.985;
2;B;50;0;E1;0;10;no tag;2023;reprodutivo_23;7;6.5;7;16.5;57;16.5;13.1;5.1;5.6;89.6784;
2;B;50;0;E1;0;10;no tag;2023;reprodutivo_23;9;8;9;18;59;18;13.4;5.9;5;92.63;
2;B;50;0;E3;20;10;no tag;2023;reprodutivo_23;9;4;29;14;79;14;9.1;5;5;78.5;
2;B;50;0;E3;20;10;no tag;2023;reprodutivo_23;9;6;29;16;79;16;10.1;5.8;5;91.06;
2;B;50;0;E3;20;10;no tag;2023;reprodutivo_23;10;8;30;18;80;18;20.1;8.1;7.9;200.9286;
2;B;50;0;E4;30;10;no tag;2023;reprodutivo_23;10;9;40;19;90;19;24.7;28;26.6;2338.672;
2;C;0;50;B4;10;30;no tag;2023;reprodutivo_23;4.5;7.1;14.5;37.1;14.5;87.1;7.1;5;5;78.5;
2;C;0;50;C3;20;20;no tag;2023;immaturo_23 ;4;8.5;24;28.5;24;78.5;11.8;5;5;78.5;
2;C;0;50;C3;20;20;no tag;2023;immaturo_23 ;4.5;8.5;24.5;28.5;24.5;78.5;11.8;5;5;78.5;
2;C;0;50;C3;20;20;no tag;2023;immaturo_23 ;4.5;8.5;24.5;28.5;24.5;78.5;11.8;5;5;78.5;
2;C;0;50;C3;20;20;no tag;2023;immaturo_23 ;5;8.5;25;28.5;25;78.5;11.8;5;5;78.5;
2;C;0;50;C3;20;20;no tag;2023;reprodutivo_23;2;1;22;21;22;71;14.2;5;5;78.5;
2;C;0;50;C5;20;40;no tag;2023;immaturo_23 ;3.5;3.5;23.5;43.5;23.5;93.5;5;5;5;78.5;
2;C;0;50;D1;30;0;no tag;2023;immaturo_23 ;5;9;35;9;35;59;5;5;5;78.5;
2;C;0;50;D1;30;0;no tag;2023;immaturo_23 ;5.5;9;35.5;9;35.5;59;5;5;5;78.5;
2;C;0;50;D1;30;0;no tag;2023;immaturo_23 ;8;3;38;3;38;53;5;5;5;78.5;
2;C;0;50;D1;30;0;no tag;2023;immaturo_23 ;8.5;3.5;38.5;3.5;38.5;53.5;5;5;5;78.5;
2;C;0;50;D1;30;0;no tag;2023;immaturo_23 ;6;5;36;5;36;55;5;5;5;78.5;
2;C;0;50;D1;30;0;no tag;2023;immaturo_23 ;7.5;6;37.5;6;37.5;56;5;5;5;78.5;
2;C;0;50;D1;30;0;no tag;2023;immaturo_23 ;8;9;38;9;38;59;5;5;5;78.5;
2;C;0;50;D1;30;0;no tag;2023;immaturo_23 ;8.5;8.5;38.5;8.5;38.5;58.5;5;5;5;78.5;
