id;size_h;sizer;size;reprod;size_nexth;size_nextr;size_next;survival;site;interval;;;;;
100;45;6;270;1;55;6;330;1;lajedo;1;;;;;
99;15;1;15;0;20;1;20;1;lajedo;1;;;;;
498;7;1;7;0;9;1;9;1;lajedo;1;;;;;
98;36;5;180;0;47;5;235;1;lajedo;1;;;;;
2476106;4;1;4;0;;;0;0;lajedo;1;;;;;
102;26;5;130;0;23;3;69;1;lajedo;1;;;;;
101;49;2;98;1;26;2;52;1;lajedo;1;;;;;
109;34;2;68;0;19;3;57;1;lajedo;1;;;;;
110;16;1;16;0;17;1;17;1;lajedo;1;;;;;
107;55;5;275;1;51;6;306;1;lajedo;1;;;;;
106;10;1;10;0;9;1;9;1;lajedo;1;;;;;
108;18;1;18;0;19;2;38;1;lajedo;1;;;;;
103;40;4;160;1;29;9;261;1;lajedo;1;;;;;
104;66;17;1122;1;70;18;1260;1;lajedo;1;;;;;
96;16;1;16;0;13;1;13;1;lajedo;1;;;;;
95;31;1;31;0;21;3;63;1;lajedo;1;;;;;
97;32;2;64;0;39;2;78;1;lajedo;1;;;;;
93;33;6;198;0;27;9;243;1;lajedo;1;;;;;
94;34;2;68;0;39;3;117;1;lajedo;1;;;;;
83;20;2;40;0;19;3;57;1;lajedo;1;;;;;
2476124;3;1;3;0;0;0;0;0;lajedo;1;;;;;
84;27;2;54;0;23;3;69;1;lajedo;1;;;;;
89;15;1;15;0;;;0;0;lajedo;1;;;;;
85;57;5;285;0;61;7;427;1;lajedo;1;;;;;
88;41.5;6;249;0;39;7;273;1;lajedo;1;;;;;
2476130;3;1;3;0;;;0;0;lajedo;1;;;;;
2476131;2.5;1;2.5;0;;;0;0;lajedo;1;;;;;
503;10;1;10;0;8;1;8;1;lajedo;1;;;;;
2476133;20;1;20;0;2;1;2;1;lajedo;1;;;;;
79;40;3;120;1;41;4;164;1;lajedo;1;;;;;
66;18;1;18;0;19;1;19;1;lajedo;1;;;;;
78;16;1;16;0;19;2;38;1;lajedo;1;;;;;
77;8;1;8;0;2;1;2;1;lajedo;1;;;;;
67;15;3;45;0;5;1;5;1;lajedo;1;;;;;
74;13;1;13;0;3;1;3;1;lajedo;1;;;;;
73;105;3;315;0;61;7;427;1;lajedo;1;;;;;
70;55;1;55;1;57;1;57;1;lajedo;1;;;;;
64;14;1;14;0;16;1;16;1;lajedo;1;;;;;
69;20;2;40;0;34;1;34;1;lajedo;1;;;;;
118;10;2;20;0;;;0;0;lajedo;1;;;;;
119;12;1;12;0;8;1;8;1;lajedo;1;;;;;
