id,size,size_next,survival,repro
90,1.2,1.3,1,0
91,1.2,NA,0,0
92,1.24,1.39,1,0
93,1.25,1.46,1,0
94,1.35,1.49,1,0
95,1.39,1.47,1,0
96,1.4,1.55,1,0
97,1.4,1.46,1,0
98,1.41,1.71,1,0
99,1.54,1.89,1,0
100,1.56,1.6,1,0
101,1.6,1.86,1,0
102,1.6,1.72,1,0
103,1.77,1.7,1,0
104,1.8,2.01,1,0
105,1.8,2,1,0
106,1.85,2.21,1,0
107,1.86,1.84,1,0
108,1.9,1.99,1,0
109,2,2.57,1,0
110,2,2.36,1,0
111,2.04,2.66,1,0
112,2.05,2.49,1,0
113,2.2,2.42,1,0
114,2.2,2.37,1,0
115,2.21,2.51,1,0
116,2.22,2.49,1,0
117,2.25,2.72,1,0
118,2.3,2.82,1,0
119,2.3,2.35,1,0
120,2.3,NA,0,0
121,2.37,2.47,1,0
122,2.4,2.61,1,0
123,2.5,2.69,1,0
124,2.6,2.99,1,0
125,2.6,2.59,1,0
126,2.61,NA,0,0
127,2.7,2.75,1,0
128,2.8,3.52,1,0
129,2.8,3.14,1,0
130,2.8,2.97,1,0
131,2.8,2.96,1,0
132,2.8,2.85,1,0
133,2.9,NA,1,0
134,3,3.04,1,0
135,3.1,3.22,1,0
136,3.2,3.26,1,0
137,3.3,3.45,1,0
138,3.4,4.03,1,0
139,3.4,3.97,1,0
140,3.4,3.92,1,0
141,3.4,3.72,1,0
142,3.4,3.59,1,0
143,3.4,3.55,1,0
144,3.5,3.47,1,0
145,3.7,4.26,1,0
146,3.7,4.19,1,0
147,3.7,3.97,1,0
148,3.7,3.87,1,0
149,3.8,3.87,1,0
150,4,4.19,1,0
151,4.1,4.66,1,0
152,4.1,4.47,1,0
153,4.2,4.52,1,0
154,4.3,4.52,1,0
155,4.3,4.47,1,0
156,4.5,4.74,1,0
157,4.6,4.62,1,0
158,4.7,5.63,1,0
159,4.7,5.18,1,0
160,4.7,5.1,1,0
161,4.7,5.09,1,0
162,4.7,4.99,1,0
163,4.8,5.25,1,0
164,4.9,5.86,1,0
165,4.9,5.36,1,0
166,4.9,5.32,1,0
167,4.9,5.28,1,0
168,4.9,5.14,1,0
169,4.9,5.07,1,0
170,5,NA,1,0
171,5,5.39,1,0
172,5.3,5.52,1,0
173,5.3,5.4,1,0
174,5.4,5.6,1,0
175,5.4,5.52,1,0
176,5.7,6.39,1,0
177,5.7,6.2,1,0
178,5.8,6.6,1,0
179,5.8,6.51,1,0
180,5.8,5.95,1,0
181,5.8,NA,0,0
182,5.9,7,1,0
183,5.9,6.72,1,0
184,6,5.88,1,0
185,6.1,6.47,1,0
186,6.1,6.46,1,0
187,6.1,6.2,1,0
188,6.2,7.07,1,0
189,6.3,6.45,1,0
190,6.5,7.26,1,0
191,6.5,6.72,1,0
192,6.6,6.89,1,0
193,6.6,6.7,1,0
194,6.6,6.67,1,0
195,6.8,7.39,1,0
196,6.8,7.16,1,0
197,6.8,7.09,1,0
198,6.9,7.34,1,0
199,6.9,6.93,1,0
200,7,NA,1,0
201,7,7.87,1,0
202,7,7.86,1,0
203,7,7.81,1,0
204,7,7.51,1,0
205,7,7.5,1,0
206,7,7.25,1,0
207,7,NA,0,0
208,7.1,NA,0,0
209,7.2,7.46,1,0
210,7.4,8.25,1,0
211,7.4,7.55,1,0
212,7.5,8.17,1,0
213,7.5,7.89,1,0
214,7.7,7.99,1,0
215,7.7,7.89,1,0
216,7.7,7.7,1,0
217,7.8,8.46,1,0
218,7.8,8.42,1,0
219,7.9,8.66,1,0
